effects1,effects2
0.1832136728,0.5796722016
1.0000687303,1.2215645819
0.7449506461,0.4411104672
0.5116257042,0.591531925
0.7950197,0.6478883784
0.5368784816,0.4438788415
1.1783466639,1.1747251902
0.6768308772,0.9608631131
0.3486878113,0.3558379748
1.4526163568,1.1598980131
0.831712691,1.1808794638
0.4948533812,0.8206029357
0.6075837095,0.2565024031
0.6408211043,1.0617088362
0.7043122912,1.1435803562
0.7188829287,1.0683085505
0.5842878216,0.6172526158
0.6895762745,0.768845371
0.4993502493,0.2479939759
0.5649179834,0.6625831518
0.3730808282,0.0752585335
0.4947861004,0.644496305
0.5687123461,0.7594136189
0.4952901048,0.7593518101
0.9101975001,0.7819151195
0.6393671074,1.0140822253
0.5935460428,0.478910368
0.8183535746,0.3069687993
0.4962070854,1.0176299138
0.6359946068,1.099462111
0.4280285656,0.6185373769
0.4521439503,0.354297374
0.8104711826,0.9011695472
0.6984659497,1.0710699742
0.9168367518,0.5142265747
0.4340715937,0.751791986
0.9221277736,0.694519046
0.5576496005,0.5970097899
0.4716482754,1.1931869143
0.467905054,1.1531479322
0.325677598,0.5665321443
0.1143725199,0.8203198475
0.2849809941,0.533090067
0.7900951961,0.3383034547
0.8157089905,1.3658050314
0.4863962822,1.5918486503
0.5734429897,1.3210183304
0.6140247489,1.3206125206
0.3238599346,0.4588063939
0.3187834287,0.7009455631
0.4532971606,0.6100771419
0.4330442376,0.3811887339
0.5718238847,0.9453797416
0.7268027387,0.9671483806
0.9523284956,0.4463837796
0.7819524695,1.7856047094
0.2949074421,0.3602600326
0.4796145622,0.2985966405
0.5924190304,0.9832495689
1.0509541685,0.9141446708
0.8402420167,1.1786235933
0.5424091571,0.2206400594
1.394929537,0.949071419
0.5883748963,0.6360692489
0.7945364136,0.7940316716
0.8624172693,0.5208849342
0.4642032858,1.183031208
0.4024906398,0.7110470005
0.5472390762,1.0648461021
0.7583967531,0.5875933966
0.6321862029,0.7012802706
0.6637784897,0.388189528
0.4152735321,0.8606597846
0.4296158291,0.5201572288
0.8663972741,0.8381050822
0.3934959728,0.2910798703
0.6073424412,0.7591873591
0.4814328885,0.2813577718
0.558636826,0.3443380929
0.550236574,1.3653377143
0.3231312743,0.9278892167
0.3617567554,0.5120707206
0.6689687695,1.4737643993
0.9162954814,1.2528572935
0.5275892152,0.2555361846
0.9435807938,0.7241114246
0.6633570497,0.6067956677
0.514434532,0.4482642199
0.7372863085,0.6566421907
0.045642655,0.3192630325
0.5950196976,1.8087677397
0.8833966902,1.1474871301
1.0754104941,1.7076983665
0.3691248124,0.5882421369
0.6451973997,1.0337561977
0.5244203137,0.2438906638
1.0920672522,0.4405163159
0.8450095522,0.8241572904
1.1400308445,0.5943317569
0.8942290278,0.5334043147
0.7960575072,0.4234353924
0.8058972402,0.3978498559
0.6586959351,0.8001781161
0.5971177694,0.9225655849
0.7978626443,1.0669060579
0.8896181379,0.7964283125
0.4279801494,0.8009246328
0.6454951456,0.6624855272
0.5029924127,0.5500192472
0.4322895252,0.0216941974
0.4783646983,0.5422867814
0.2737764805,0.8463224699
0.4502466056,0.5929079327
0.6854522582,0.2437050285
0.6267984277,0.4348083879
0.8077895488,1.1813817736
0.5597941058,0.1088325971
0.6606164511,0.5298816178
0.5616363378,0.7898314888
0.6722634772,0.684014083
0.5508526688,0.5786847058
0.8230392701,0.5899280193
0.512717783,0.6347331097
0.4076652544,0.8024147624
0.5825579757,0.5505794244
0.2533856535,0.3478234744
0.2187123737,0.7829068776
0.1392769966,0.3872767308
0.2531911336,0.5004778036
0.2158754138,0.1401057309
0.6108675156,1.1214637189
1.333085108,0.5683221499
1.085522863,1.1450916819
0.4239410338,0.4262249677
0.7314122666,0.3469765022
0.4582973744,0.5930668295
0.6320916325,1.1424524407
1.0760420319,1.1214855873
0.7755082994,0.6241834347
0.2463279084,1.1902236046
0.7179996213,0.869564695
0.5355316345,0.3429218063
0.7020531915,0.9418493271
0.8594007666,0.3723096039
1.1758481731,1.7443013801
0.5777432389,0.8452879376
0.8483879229,1.0169557513
0.2806034646,0.4215945777
0.6056269253,0.2398921165
0.4694166301,1.0384633219
0.4336118288,1.1692718245
0.4355677503,0.4484536423
0.9776047218,0.6319227514
0.2877534938,0.5162699192
0.5374896751,0.6922689169
0.9373157803,0.5821813706
