costs1,costs2
1176.6982299414,1897.2399037054
1134.0946017223,1627.7747664037
1095.3812676775,1676.0963722523
1320.0862260377,1729.2827305651
1187.3501449642,1838.7507978649
1143.9117969876,1677.8506109436
1018.8281520784,1525.3209493003
1304.9517538654,1631.5705187139
1225.8144256125,1698.916645907
1427.1429236047,1909.846212945
1156.2469635202,1674.0291982944
1148.4309831721,1668.7737948742
1130.7811404184,1662.3220449738
1200.415929045,1706.0510906456
1281.2060901825,1665.5769527514
1281.7574245547,1751.0439301807
1223.8717050203,1758.9923220888
1270.9274661059,1707.459210831
1126.5813810586,1730.5218914225
1139.5894823684,1610.8918245495
1251.4952791591,1756.1320425777
1221.1108419341,1779.9129143332
1162.6304710476,1736.0409324119
1515.4699452548,1791.9818431364
1588.7360156124,1817.639879248
